Instructor,Course,Term,Enroll,Evals Made,Rcmd Class,Rcmnd Instr,Study Hours/week,avg Grade Expected,Average grade received
"Ben-Yosef, Erez","
ANAR 113 - Natural Resources in Israel (A)
",FA18,19,11,"
100.0 %
","
100.0 %
",4.14,"
B+ (3.64)
","
N/A
"
"D'Alpoim Guedes, Jade A","
ANAR 146 - Feeding the World (A)
",FA18,39,17,"
100.0 %
","
100.0 %
",5.91,"
A- (3.75)
","
B+ (3.54)
"
"Marchetto, Maria Carolina","
ANBI 100 - Special Topic/Biological Anth (A)
",FA18,25,23,"
100.0 %
","
100.0 %
",4.24,"
A- (3.91)
","
A- (3.83)
"
"Non, Amy L","
ANBI 134 - Human Evolutionary Genetics (A)
",FA18,30,16,"
62.5 %
","
93.3 %
",5.5,"
B (3.13)
","
B (3.09)
"
"Non, Amy L","
ANBI 135 - Genetic Anthro Lab Techniques (A)
",FA18,11,7,"
57.1 %
","
85.7 %
",4.5,"
B (3.14)
","
N/A
"
"Lew, Caroline Horton","
ANBI 159 - Biological&Cult Persptv/Intell (A)
",FA18,45,25,"
83.3 %
","
83.3 %
",3.25,"
A- (3.75)
","
B+ (3.44)
"
"Goodman, Yehuda Chaim","
ANSC 100 - Spec Top/Socio-Cultural Anthro (A)
",FA18,12,4,"
75.0 %
","
75.0 %
",3.5,"
B (3.25)
","
N/A
"
"Jenkins, Janis A.","
ANSC 100 - Spec Top/Socio-Cultural Anthro (C)
",FA18,11,5,"
100.0 %
","
100.0 %
",5,"
A (4.00)
","
N/A
"
"Saravia, Paula F","
ANSC 105 - Global Health and Inequality (A)
",FA18,20,17,"
94.1 %
","
88.2 %
",6.03,"
A- (3.88)
","
A- (3.96)
"
"Olivas Hernandez, Olga Lid","
ANSC 106 - GH: Indig Med in Latin America (A)
",FA18,39,14,"
92.9 %
","
92.9 %
",3.07,"
A- (3.86)
","
A- (3.81)
"
"Hauck, Jan","
ANSC 118 - Language and Culture (A)
",FA18,21,13,"
92.3 %
","
100.0 %
",6.35,"
B+ (3.69)
","
A- (3.80)
"
"Kang, Byung Chu","
ANSC 146 - Global Health Persp/HIV (A)
",FA18,40,22,"
90.9 %
","
86.4 %
",4.23,"
A- (3.73)
","
A- (3.74)
"
"Saravia, Paula F","
ANSC 148 - Global Health&Cultrl Diversity (A)
",FA18,88,74,"
54.8 %
","
52.1 %
",4.53,"
B+ (3.40)
","
B+ (3.52)
"
"Pedersen, David","
ANSC 175 - Anthropology of Capitalism (A)
",FA18,33,12,"
58.3 %
","
50.0 %
",3.83,"
B+ (3.50)
","
B+ (3.68)
"
"Goldstein, Paul S","
ANTH 101 - Foundations/Social Complexity (A)
",FA18,137,73,"
81.2 %
","
79.1 %
",4,"
B+ (3.33)
","
B+ (3.35)
"
"Semendeferi, Ekaterini","
ANTH 196A - Honors Studies in Anthropology (A)
",FA18,13,4,"
100.0 %
","
100.0 %
",7,"
A (4.00)
","
N/A
"
"Rothschild, Amy C","
ANTH 21 - Race and Racisms (A)
",FA18,212,96,"
94.7 %
","
97.8 %
",3.01,"
B+ (3.58)
","
B+ (3.54)
"
"Kang, Byung Chu","
ANTH 21 - Race and Racisms (B)
",FA18,314,214,"
94.2 %
","
93.7 %
",3.36,"
A- (3.82)
","
A- (3.73)
"
"Stewart, Alexander B","
ANTH 23 - Debating Multiculturalism (A)
",FA18,407,351,"
87.9 %
","
95.6 %
",3.53,"
B+ (3.58)
","
B+ (3.42)
"
"Rivera-Collazo, Isabel C","
ANTH 3 - Global Archaeology (A)
",FA18,66,47,"
95.7 %
","
100.0 %
",3.14,"
B+ (3.49)
","
B (3.17)
"
"Semendeferi, Ekaterini","
ANTH 87 - Freshman Seminar (A)
",FA18,17,13,"
100.0 %
","
100.0 %
",0.5,"
A (4.00)
","
N/A
"
"Kang, Byung Chu","
ANSC 105GS - Global Health and Inequality (A)
",S218,21,13,"
100.0 %
","
100.0 %
",4.5,"
A (4.00)
","
A- (3.71)
"
"Kang, Byung Chu","
ANSC 125GS - Gender, Sexuality, & Society (A)
",S218,21,13,"
100.0 %
","
100.0 %
",4.35,"
A- (3.92)
","
B+ (3.60)
"
"Saravia, Paula F","
ANSC 144 - Immigrant and Refugee Health (A)
",S218,23,21,"
100.0 %
","
100.0 %
",4.79,"
A- (3.76)
","
B+ (3.63)
"
"Parish, Steven Martin","
ANSC 166 - Film and Culture in Asia (A)
",S218,110,37,"
94.3 %
","
94.3 %
",4.16,"
A- (3.94)
","
A- (3.98)
"
"Liss, Brady James","
ANTH 101 - Foundations/Social Complexity (A)
",S218,21,13,"
100.0 %
","
100.0 %
",3.83,"
B (3.17)
","
B- (2.83)
"
"Goldstein, Paul S","
ANAR 117 - Archaeology Field&Lab, SoCal (A)
",S118,17,7,"
100.0 %
","
100.0 %
",4.1,"
A- (3.86)
","
N/A
"
"Berman, Michael David","
ANSC 122 - Language in Society (A)
",S118,38,15,"
93.3 %
","
93.3 %
",4.9,"
B+ (3.50)
","
B+ (3.42)
"
"Wilder, Linnea Lorene","
ANTH 102 - Humans Are Cultural Animals (A)
",S118,38,13,"
100.0 %
","
83.3 %
",2.81,"
B+ (3.50)
","
A- (3.72)
"
"Hrvoj Mihic, Branka","
ANTH 2 - Human Origins (A)
",S118,21,7,"
85.7 %
","
100.0 %
",4.17,"
A- (3.75)
","
B+ (3.58)
"
"Kurian, Amrita Achamma","
ANTH 21 - Race and Racisms (A)
",S118,28,14,"
78.6 %
","
100.0 %
",8.21,"
B+ (3.33)
","
B (3.07)
"
"Kennemore, Amy Michelle","
ANTH 23 - Debating Multiculturalism (A)
",S118,25,21,"
95.2 %
","
100.0 %
",5.83,"
B+ (3.50)
","
A- (3.76)
"
"Braswell, Geoffrey E.","
ANAR 100 - Spec Topics/Anth Archaeology (A)
",SP18,17,7,"
100.0 %
","
100.0 %
",8.17,"
A (4.00)
","
N/A
"
"Levy, Thomas E","
ANAR 143 - Biblical Arch- Fact or Fiction (A)
",SP18,31,15,"
73.3 %
","
86.7 %
",4.9,"
B+ (3.40)
","
B+ (3.59)
"
"Goldstein, Paul S","
ANAR 156 - Archaeology of South America (A)
",SP18,49,14,"
57.1 %
","
71.4 %
",3.07,"
B+ (3.33)
","
B (3.16)
"
"Goldstein, Paul S","
ANAR 180 - Archaeology Workshop (A)
",SP18,9,5,"
100.0 %
","
100.0 %
",4.1,"
A- (3.80)
","
N/A
"
"Strum, Shirley C.","
ANBI 132 - Conservation&Human Predicament (A)
",SP18,15,3,"
100.0 %
","
100.0 %
",4.5,"
B+ (3.67)
","
N/A
"
"Gagneux, Pascal","
ANBI 139 - Evolution of Human Disease (A)
",SP18,40,20,"
100.0 %
","
100.0 %
",3.28,"
A- (3.83)
","
B- (2.83)
"
"Lew, Caroline Horton","
ANBI 140 - Evolution of Human Brain (A)
",SP18,27,14,"
85.7 %
","
92.9 %
",4.19,"
B+ (3.62)
","
B+ (3.51)
"
"Minsky-Rowland, Jocelyn D","
ANBI 143 - The Human Skeleton (A)
",SP18,21,11,"
100.0 %
","
100.0 %
",7.05,"
B+ (3.50)
","
B- (2.95)
"
"Pedersen, David","
ANSC 100 - Spec Top/Socio-Cultural Anthro (B)
",SP18,14,7,"
85.7 %
","
85.7 %
",3.64,"
A (4.00)
","
N/A
"
"Saravia, Paula F","
ANSC 106 - GH: Indig Med in Latin America (A)
",SP18,43,39,"
97.4 %
","
94.9 %
",4.29,"
A- (3.78)
","
B+ (3.62)
"
"Haviland, John B.","
ANSC 122 - Language in Society (A)
",SP18,31,16,"
46.7 %
","
53.3 %
",5.83,"
B- (2.92)
","
B (3.00)
"
"Rothschild, Amy C","
ANSC 140 - Human Rights II: Contemp Issue (A)
",SP18,24,9,"
88.9 %
","
77.8 %
",3.17,"
A (4.00)
","
A- (3.79)
"
"Olivas Hernandez, Olga Lid","
ANSC 150 - Culture and Mental Health (A)
",SP18,12,5,"
100.0 %
","
100.0 %
",4.5,"
A- (3.80)
","
N/A
"
"Olivas Hernandez, Olga Lid","
ANSC 150 - Culture and Mental Health (B)
",SP18,12,7,"
100.0 %
","
100.0 %
",4.5,"
A (4.00)
","
N/A
"
"Garth, Hanna Fitzmaurice","
ANSC 185 - #BlackLivesMatter (A)
",SP18,46,24,"
100.0 %
","
100.0 %
",5.42,"
A- (3.74)
","
B+ (3.51)
"
"Hankins, Joseph D.","
ANSC 186 - Gender and Incarceration (A)
",SP18,31,15,"
100.0 %
","
100.0 %
",5.12,"
A (4.00)
","
A- (3.72)
"
"Brenner, Suzanne A","
ANTH 103 - Sociocultural Anthropology (A)
",SP18,139,55,"
81.5 %
","
83.3 %
",4.46,"
B+ (3.62)
","
B+ (3.63)
"
"Semendeferi, Ekaterini","
ANTH 192 - Senior Seminar in Anthropology (A)
",SP18,12,8,"
85.7 %
","
85.7 %
",1.75,"
A (4.00)
","
N/A
"
"Semendeferi, Ekaterini","
ANTH 196C - Honors Studies in Anthropology (A)
",SP18,6,5,"
80.0 %
","
100.0 %
",10.5,"
A (4.00)
","
N/A
"
"Bennallack, Kathleen Celia","
ANTH 21 - Race and Racisms (A)
",SP18,188,61,"
81.0 %
","
71.9 %
",2.64,"
A- (3.80)
","
B+ (3.60)
"
"Stewart, Alexander B","
ANTH 23 - Debating Multiculturalism (A)
",SP18,169,133,"
86.7 %
","
93.8 %
",3.02,"
B+ (3.63)
","
B+ (3.46)
"
"Levy, Thomas E","
ANTH 3 - Global Archaeology (A)
",SP18,56,25,"
90.9 %
","
90.9 %
",2.75,"
B+ (3.65)
","
A- (3.72)
"
"Non, Amy L","
ANTH 43 - Intro/Bio & Culture of Race (A)
",SP18,50,34,"
84.8 %
","
93.9 %
",3.5,"
B+ (3.57)
","
B (3.19)
"
"Algaze, Guillermo","
ANAR 138 - The Emergence of Civilization (A)
",WI18,14,8,"
100.0 %
","
100.0 %
",3.64,"
B+ (3.57)
","
N/A
"
"Braswell, Geoffrey E.","
ANAR 154 - The Aztecs & Their Ancestors (A)
",WI18,38,30,"
96.6 %
","
100.0 %
",2.57,"
B+ (3.52)
","
B (3.02)
"
"Fortier, Jana","
ANAR 184 - Empires in Archaeo Perspective (A)
",WI18,12,5,"
100.0 %
","
100.0 %
",5.7,"
B (3.20)
","
N/A
"
"Semendeferi, Ekaterini","
ANBI 112 - Methods/Human CompNeuroscience (A)
",WI18,7,4,"
100.0 %
","
100.0 %
",5.5,"
A (4.00)
","
N/A
"
"Gagneux, Pascal","
ANBI 116 - Hmn Sexuality in Evolutn Pers (A)
",WI18,44,26,"
100.0 %
","
100.0 %
",4.34,"
B (3.17)
","
B- (2.88)
"
"Schoeninger, Margaret J","
ANBI 120 - Ethical Dilemmas in Bio Anthro (A)
",WI18,15,6,"
100.0 %
","
83.3 %
",4.5,"
A (4.00)
","
N/A
"
"Lafleur, Marni M","
ANBI 133 - Evolution/Ecology: Great Ape (A)
",WI18,26,15,"
100.0 %
","
100.0 %
",3.3,"
B+ (3.64)
","
B (3.29)
"
"Kang, Byung Chu","
ANSC 117 - Transgenderisms (A)
",WI18,10,7,"
85.7 %
","
100.0 %
",2.79,"
B+ (3.57)
","
N/A
"
"Haviland, John B.","
ANSC 118 - Language and Culture (A)
",WI18,17,10,"
66.7 %
","
77.8 %
",6.5,"
B (3.22)
","
N/A
"
"Brenner, Suzanne A","
ANSC 125 - Gender, Sexuality, & Society (A)
",WI18,60,30,"
96.4 %
","
96.4 %
",4.64,"
A- (3.74)
","
B+ (3.54)
"
"Haviland, John B.","
ANSC 131 - Language, Law, Social Justice (A)
",WI18,13,9,"
66.7 %
","
66.7 %
",5.39,"
B+ (3.33)
","
N/A
"
"Jordan, David K.","
ANSC 137 - Chinese Popular Religion (A)
",WI18,41,15,"
66.7 %
","
83.3 %
",5.73,"
B+ (3.46)
","
B (3.20)
"
"Postero, Nancy Grey","
ANSC 142 - Anthropology of Latin America (A)
",WI18,33,13,"
91.7 %
","
100.0 %
",4.81,"
A- (3.77)
","
B+ (3.59)
"
"Kang, Byung Chu","
ANSC 148 - Global Health/Cultrl Diversity (A)
",WI18,69,58,"
94.8 %
","
96.6 %
",4.22,"
A- (3.88)
","
A- (3.88)
"
"Brenner, Suzanne A","
ANSC 154 - Gender and Religion (A)
",WI18,15,9,"
100.0 %
","
100.0 %
",6.75,"
A- (3.88)
","
N/A
"
"Pedersen, David","
ANSC 178 - Brain, Mind, Culture & History (A)
",WI18,26,11,"
63.6 %
","
80.0 %
",2.14,"
B+ (3.55)
","
A (4.00)
"
"Hankins, Joseph D.","
ANSC 180 - Capitalism & Gender (A)
",WI18,17,8,"
100.0 %
","
100.0 %
",6,"
B (3.29)
","
N/A
"
"Bialecki, Jon Anthony","
ANTH 1 - Introduction to Culture (A)
",WI18,52,26,"
87.0 %
","
91.3 %
",3.37,"
B+ (3.57)
","
B+ (3.43)
"
"Lafleur, Marni M","
ANTH 102 - Humans Are Cultural Animals (A)
",WI18,140,68,"
82.1 %
","
89.4 %
",3.34,"
A- (3.82)
","
B+ (3.59)
"
"Olivas Hernandez, Olga Lid","
ANTH 21 - Race and Racisms (A)
",WI18,113,46,"
77.8 %
","
84.1 %
",2.77,"
A- (3.79)
","
A- (3.74)
"
"Duzel, Esin","
ANTH 21 - Race and Racisms (B)
",WI18,200,163,"
79.1 %
","
89.6 %
",3.1,"
B+ (3.61)
","
B+ (3.53)
"
"Stewart, Alexander B","
ANTH 23 - Debating Multiculturalism (A)
",WI18,210,187,"
88.0 %
","
91.8 %
",3.38,"
B+ (3.60)
","
A- (3.72)
"
"Semendeferi, Ekaterini","
ANTH 87 - Freshman Seminar (A)
",WI18,12,10,"
100.0 %
","
100.0 %
",0.5,"
A (4.00)
","
N/A
"
"Jordan, David K.","
ANTH 87 - Freshman Seminar (B)
",WI18,14,10,"
88.9 %
","
88.9 %
",1.3,"
N/A
","
N/A
"
"Jordan, David K.","
ANTH 87 - Freshman Seminar (C)
",WI18,13,9,"
100.0 %
","
100.0 %
",1.17,"
N/A
","
N/A
"
"Mc Culloch, Andrew Douglas","
BENG 110 - Foundation of Biomechanics (A)
",FA18,63,33,"
96.8 %
","
93.5 %
",5.79,"
B+ (3.58)
","
B (3.25)
"
"Valdez-Jasso, Daniela","
BENG 110 - Foundation of Biomechanics (B)
",FA18,47,15,"
76.9 %
","
69.2 %
",8.04,"
B+ (3.62)
","
B (3.13)
"
"Metallo, Christian Michael","
BENG 122A - Biosystems and Control (A)
",FA18,59,18,"
94.1 %
","
88.2 %
",6.38,"
A- (3.71)
","
B+ (3.47)
"
"Wheeler, Bruce Christopher","
BENG 126A - Design Dev Bioinformatics BENG (A)
",FA18,19,4,"
100.0 %
","
100.0 %
",8.5,"
B+ (3.67)
","
N/A
"
"Coleman, Todd Prentice","
BENG 134 - Measurements/Stats/Probability (A)
",FA18,32,18,"
87.5 %
","
93.8 %
",17.25,"
B (3.19)
","
B+ (3.63)
"
"Wheeler, Bruce Christopher","
BENG 135 - Biomedical Signals & Systems (A)
",FA18,19,3,"
66.7 %
","
100.0 %
",6.5,"
B+ (3.67)
","
N/A
"
"Lal, Ratnesh","
BENG 141 - Biomedical Optics and Imaging (A)
",FA18,32,29,"
93.1 %
","
89.7 %
",4.98,"
A- (3.76)
","
B+ (3.66)
"
"Wheeler, Bruce Christopher","
BENG 148A - Design Developmnt Cardiac BENG (A)
",FA18,8,3,"
100.0 %
","
100.0 %
",11.5,"
B+ (3.50)
","
N/A
"
"Fraley, Stephanie I.","
BENG 161A - Bioreactor Engineering (A)
",FA18,67,55,"
90.9 %
","
89.1 %
",9.52,"
B+ (3.31)
","
B (3.02)
"
"Mali, Prashant Gulab Ram","
BENG 162 - Biotechnology Laboratory (A)
",FA18,66,57,"
84.2 %
","
89.5 %
",8.68,"
B+ (3.53)
","
B (3.16)
"
"Sah, Robert Lie-Yuan","
BENG 166A - Cell and Tissue Engineering (A)
",FA18,71,42,"
14.6 %
","
20.0 %
",9.85,"
B (3.22)
","
B+ (3.40)
"
"Wheeler, Bruce Christopher","
BENG 169A - Design Developmnt Tissue Engin (A)
",FA18,14,3,"
100.0 %
","
100.0 %
",3.5,"
A (4.00)
","
N/A
"
"Wheeler, Bruce Christopher","
BENG 179A - Design Develop.Bioinstrumntatn (A)
",FA18,58,7,"
66.7 %
","
66.7 %
",8.21,"
A (4.00)
","
A- (3.93)
"
"Zhong, Sheng","
BENG 183 - Applied Genomic Technologies (A)
",FA18,73,28,"
69.2 %
","
76.0 %
",3.02,"
B+ (3.59)
","
B+ (3.54)
"
"Wheeler, Bruce Christopher","
BENG 187B - BENG Design Project:Developmnt (A)
",FA18,130,32,"
76.7 %
","
89.7 %
",6.91,"
A (4.00)
","
N/A
"
"Engler, Adam J.","
BENG 193 - Clinical Bioengineering (A)
",FA18,26,9,"
100.0 %
","
100.0 %
",7.39,"
A (4.00)
","
A- (3.88)
"
"Wheeler, Bruce Christopher","
BENG 2 - Intro Computer Prog & MATLAB (A)
",FA18,19,12,"
72.7 %
","
72.7 %
",6.5,"
B+ (3.33)
","
N/A
"
"Mc Culloch, Andrew Douglas","
BENG 87 - Freshman Seminar (A)
",FA18,19,14,"
90.9 %
","
100.0 %
",0.83,"
B+ (3.50)
","
N/A
"
"Omens, Jeffrey Howard","
BENG 87 - Freshman Seminar (A)
",FA18,20,14,"
90.9 %
","
100.0 %
",0.83,"
B+ (3.50)
","
N/A
"
"Abbasi, Shaghayegh","
BENG 100 - Stat Reasoning Bioeng Applns (A)
",S118,16,3,"
66.7 %
","
66.7 %
",13.83,"
D+ (1.67)
","
N/A
"
"Alexandrov, Ludmil B","
BENG 100 - Stat Reasoning Bioeng Applns (A)
",SP18,163,74,"
76.4 %
","
90.1 %
",7.2,"
B (3.18)
","
B- (2.91)
"
"Huang, Xiaohua","
BENG 102 - Moleculr Components Living Sys (A)
",SP18,51,20,"
63.2 %
","
57.9 %
",5.03,"
B+ (3.53)
","
A- (3.72)
"
"Fraley, Stephanie I.","
BENG 103B - Bioengineering Mass Transfer (A)
",SP18,119,110,"
87.3 %
","
92.7 %
",8.74,"
B+ (3.32)
","
B- (3.00)
"
"Mc Culloch, Andrew Douglas","
BENG 112B - Fluid and Cell Biomechanics (A)
",SP18,59,18,"
55.6 %
","
55.6 %
",4.94,"
B+ (3.44)
","
A- (3.82)
"
"Hasty, Jeff M","
BENG 125 - Modeling & Computatio/Bioengr (A)
",SP18,131,41,"
81.1 %
","
72.2 %
",6.66,"
B+ (3.32)
","
B+ (3.51)
"
"Wheeler, Bruce Christopher","
BENG 125 - Modeling & Computatio/Bioengr (A)
",SP18,131,41,"
81.1 %
","
75.7 %
",6.66,"
B+ (3.32)
","
B+ (3.51)
"
"Mali, Prashant Gulab Ram","
BENG 133 - Numerical Analys-Computatn Eng (A)
",SP18,23,23,"
91.3 %
","
100.0 %
",6.67,"
B+ (3.43)
","
B+ (3.57)
"
"Silva, Gabriel","
BENG 140B - Bioengineering Physiology (A)
",SP18,40,18,"
70.6 %
","
70.6 %
",5.32,"
B+ (3.56)
","
B+ (3.37)
"
"Devor, Anna","
BENG 140B - Bioengineering Physiology (B)
",SP18,30,11,"
100.0 %
","
100.0 %
",3.41,"
B+ (3.64)
","
A- (3.78)
"
"Zhang, Kun","
BENG 160 - Chem & Molecular BENG Techniqs (A)
",SP18,63,57,"
80.7 %
","
94.7 %
",8.01,"
B+ (3.54)
","
B+ (3.36)
"
"Cabrales, Pedro","
BENG 172 - Bioengineering Laboratory (A)
",SP18,45,12,"
83.3 %
","
100.0 %
",10,"
B+ (3.55)
","
B+ (3.56)
"
"Omens, Jeffrey Howard","
BENG 172 - Bioengineering Laboratory (A)
",SP18,45,12,"
83.3 %
","
100.0 %
",10,"
B+ (3.55)
","
B+ (3.56)
"
"Bafna, Vineet","
BENG 182 - Biological Databases (A)
",SP18,20,6,"
83.3 %
","
100.0 %
",8.5,"
B- (2.83)
","
B (3.25)
"
"Bansal, Vikas","
BENG 182 - Biological Databases (C)
",SP18,15,4,"
75.0 %
","
50.0 %
",6.5,"
B (3.00)
","
N/A
"
"Dequach, Jessica A","
BENG 186A - Principles/Biomaterials Design (A)
",SP18,105,78,"
63.2 %
","
64.5 %
",6.03,"
B (3.23)
","
B (3.18)
"
"Wheeler, Bruce Christopher","
BENG 187A - BENG Design Project: Planning (A)
",SP18,130,43,"
100.0 %
","
97.4 %
",1.83,"
A- (3.97)
","
N/A
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (A)
",SP18,23,5,"
100.0 %
","
100.0 %
",6.5,"
A (4.00)
","
A- (3.90)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (B)
",SP18,58,16,"
75.0 %
","
93.8 %
",6,"
A- (3.88)
","
A- (3.90)
"
"Wheeler, Bruce Christopher","
BENG 187D - BENG Design Proj:Presentation (C)
",SP18,48,16,"
92.9 %
","
100.0 %
",3.83,"
A (4.00)
","
A- (3.90)
"
"Gough, David A.","
BENG 189 - Physiological Systems Eng (A)
",SP18,31,8,"
37.5 %
","
25.0 %
",4.5,"
B+ (3.38)
","
A- (3.72)
"
"Silva, Gabriel","
BENG 189 - Physiological Systems Eng (A)
",SP18,31,8,"
37.5 %
","
75.0 %
",4.5,"
B+ (3.38)
","
A- (3.72)
"
"Omens, Jeffrey Howard","
BENG 87 - Freshman Seminar (A)
",SP18,13,8,"
100.0 %
","
100.0 %
",1.25,"
N/A
","
N/A
"
"Chien, Shu","
BENG 1 - Introduction to Bioengineering (A)
",WI18,198,124,"
73.7 %
","
88.8 %
",3.36,"
A- (3.80)
","
N/A
"
"Omens, Jeffrey Howard","
BENG 112A - Tissue Biomechanics (A)
",WI18,62,21,"
90.0 %
","
90.0 %
",5.87,"
B+ (3.58)
","
B+ (3.52)
"
"Wheeler, Bruce Christopher","
BENG 119B - Design Implmntatn Biomechanics (A)
",WI18,24,5,"
60.0 %
","
100.0 %
",3.7,"
A (4.00)
","
A (4.00)
"
"Subramaniam, Shankar","
BENG 120 - Org Chem-Structural & Design (A)
",WI18,51,26,"
68.0 %
","
80.0 %
",7.92,"
B- (2.88)
","
B+ (3.39)
"
"Wang, Yingxiao","
BENG 120 - Org Chem-Structural & Design (A)
",WI18,50,26,"
68.0 %
","
64.0 %
",7.92,"
B- (2.88)
","
B+ (3.39)
"
"Palsson, Bernhard O.","
BENG 123 - Dynamic Simulatn in Bioeng (A)
",WI18,67,20,"
66.7 %
","
66.7 %
",11.91,"
B+ (3.50)
","
B+ (3.36)
"
"Wheeler, Bruce Christopher","
BENG 128B - Design Implmnt Genetic Circuit (A)
",WI18,21,9,"
88.9 %
","
100.0 %
",9.75,"
A- (3.89)
","
A (4.00)
"
"Huang, Xiaohua","
BENG 130 - Biotech Thermodynamics & Kinet (A)
",WI18,169,99,"
73.7 %
","
64.6 %
",6.54,"
B+ (3.42)
","
B+ (3.43)
"
"Cabrales, Pedro","
BENG 140A - Bioengineering Physiology (A)
",WI18,49,26,"
91.7 %
","
91.7 %
",7.83,"
B+ (3.58)
","
B+ (3.59)
"
"Sparks, Steven Ray","
BENG 140A - Bioengineering Physiology (C)
",WI18,29,10,"
66.7 %
","
33.3 %
",6.06,"
B (3.11)
","
B+ (3.60)
"
"Wheeler, Bruce Christopher","
BENG 147B - Design Implmntatn Neural Engin (A)
",WI18,17,4,"
75.0 %
","
100.0 %
",9.5,"
A- (3.75)
","
N/A
"
"Wheeler, Bruce Christopher","
BENG 152 - BioSystems Engineering Lab (A)
",WI18,15,9,"
100.0 %
","
100.0 %
",6.94,"
A- (3.88)
","
N/A
"
"Metallo, Christian Michael","
BENG 161B - Biochemical Engineering (A)
",WI18,47,15,"
86.7 %
","
93.3 %
",7.57,"
B+ (3.33)
","
B+ (3.40)
"
"Lewis, Nathan E","
BENG 161B - Biochemical Engineering (B)
",WI18,11,6,"
83.3 %
","
100.0 %
",7.5,"
B (3.17)
","
N/A
"
"Wang, Yingxiao","
BENG 168 - Biomolecular Engineering (A)
",WI18,72,20,"
100.0 %
","
100.0 %
",7.2,"
B+ (3.65)
","
A- (3.71)
"
"Wheeler, Bruce Christopher","
BENG 169B - Design Implmntatn Tissue Engin (A)
",WI18,27,5,"
100.0 %
","
100.0 %
",7.7,"
A (4.00)
","
A (4.00)
"
"Pevzner, Pavel Arkadjevich","
BENG 181 - Molecular Sequence Analysis (A)
",WI18,39,19,"
70.6 %
","
70.6 %
",17.61,"
B- (2.89)
","
B+ (3.30)
"
"Cauwenberghs, Gert","
BENG 186B - Princpls/Bioinstrumentatn Desn (A)
",WI18,40,12,"
81.8 %
","
90.9 %
",9,"
B (3.17)
","
B+ (3.39)
"
"Alvarez-Cabanillas, Miguel","
BENG 186B - Princpls/Bioinstrumentatn Desn (C)
",WI18,20,10,"
100.0 %
","
87.5 %
",10.75,"
B (3.00)
","
B+ (3.38)
"
"Wheeler, Bruce Christopher","
BENG 187C - BENG Design Proj:Implemntation (A)
",WI18,129,33,"
87.5 %
","
96.8 %
",4.38,"
A- (3.97)
","
N/A
"
"Gough, David A.","
BENG 87 - Freshman Seminar (A)
",WI18,9,5,"
100.0 %
","
100.0 %
",0.9,"
N/A
","
N/A
"
"Engler, Adam J.","
BENG 87 - Freshman Seminar (B)
",WI18,14,8,"
100.0 %
","
100.0 %
",0.5,"
N/A
","
N/A
"
"Huffaker, Alisa","
BIBC 100 - Structural Biochemistry (A)
",FA18,309,144,"
90.3 %
","
94.7 %
",6.9,"
B+ (3.61)
","
B+ (3.42)
"
"Schmelz, Eric Alexander","
BIBC 102 - Metabolic Biochemistry (A)
",FA18,41,22,"
66.7 %
","
70.0 %
",8.4,"
B (3.19)
","
B (3.18)
"
"Hampton, Randolph Y.","
BIBC 102 - Metabolic Biochemistry (B)
",FA18,406,186,"
88.8 %
","
90.5 %
",7.01,"
B+ (3.32)
","
B- (2.85)
"
"Mohan, Swarna","
BIBC 102 - Metabolic Biochemistry (C)
",FA18,74,84,"
95.2 %
","
94.0 %
",7.68,"
B+ (3.33)
","
C- (1.91)
"
"Soowal, Lara","
BIBC 103 - Biochemical Techniques (A)
",FA18,24,14,"
92.9 %
","
100.0 %
",5.93,"
B (3.07)
","
B+ (3.31)
"
"Coleman, Aaron B.","
BIBC 103 - Biochemical Techniques (B)
",FA18,66,62,"
85.5 %
","
95.2 %
",6.6,"
B (3.28)
","
B (3.18)
"
"Bozinovic, Goran","
BIBC 103 - Biochemical Techniques (C)
",FA18,63,24,"
87.5 %
","
83.3 %
",5.58,"
B (3.04)
","
B- (2.91)
"
"Coleman, Aaron B.","
BIBC 120 - Nutrition (A)
",FA18,329,237,"
97.4 %
","
97.4 %
",5.69,"
B+ (3.53)
","
B- (2.95)
"
"Hui, Enfu","
BIBC 194 - Adv Topics-Biochemistry (A)
",FA18,26,9,"
100.0 %
","
100.0 %
",1.25,"
A (4.00)
","
A- (3.94)
"
"Bozinovic, Goran","
BICD 100 - Genetics (A)
",FA18,395,222,"
93.9 %
","
92.8 %
",5.43,"
B+ (3.33)
","
B (3.02)
"
"Reuther, Keefe","
BICD 100 - Genetics (B)
",FA18,410,351,"
98.3 %
","
98.8 %
",4.91,"
B+ (3.62)
","
B+ (3.44)
"
"Kiger, Amy","
BICD 110 - Cell Biology (A)
",FA18,39,32,"
78.1 %
","
71.9 %
",7.38,"
B (3.09)
","
B- (2.89)
"
"Grossman, Emily N","
BICD 110 - Cell Biology (B)
",FA18,178,156,"
83.3 %
","
80.8 %
",5.86,"
B+ (3.40)
","
B+ (3.40)
"
"Zuniga, Elina I","
BICD 140 - Immunology (A)
",FA18,81,51,"
98.0 %
","
96.1 %
",6.7,"
B+ (3.56)
","
C+ (2.60)
"
